Identifiant,Nom_Etablissement,Numero_SIRET,Adresse,Code_Postal,Commune,Departement,Region,Coordonnees_X,Coordonnees_Y,Code_APE,Libelle_APE,code_eprtr,libelle_eprtr
301.00145,SMF,38917688400044,,27460,ALIZAY,EURE,NORMANDIE,514311,2480707,2013B,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,,
067.00809,Schaeffler France - USINE 3,56850416100015,Zone Industrielle Sablière,67590,SCHWEIGHOUSE-SUR-MODER,BAS-RHIN,GRAND-EST,996393,2438395,2815Z,Fabrication d'engrenages et d'organes mécaniques de transmission,,
068.06318,OLEO RECYCLING,41893349500040,"18 bld du Grand Castaing
 ZI du Sans Souci",31600,MURET,HAUTE-GARONNE,OCCITANIE,517900,1829300,3811Z,Collecte des déchets non dangereux,,
75100106,SARL LE BAUT,32551756300012,kervriou,29530,PLONEVEZ-DU-FAOU,FINISTERE,BRETAGNE,142688,2379753,0146Z,Élevage de porcins,7.(a).(ii),disposant de 2 000 emplacements pour porcs de production (de plus de 30 kg)
064.00550,SIBELCO France,68200032800042,Les Crans,84410,BEDOIN,VAUCLUSE,PROVENCE-ALPES-COTE-D'AZUR,827584,1906482,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
068.06903,COVED,34340353101678,777 Avenue des Terres noires,81370,SAINT-SULPICE,TARN,OCCITANIE,547241,1863867,3811Z,Collecte des déchets non dangereux,,
058.01551,SENALIA Union,77509209100047,,76100,ROUEN,SEINE-MARITIME,NORMANDIE,509411,2494315,5210B,Entreposage et stockage non frigorifique,,
79500003,EARL LE BUISSON,34909004300010,Le Buisson LA RONDE,79380,LA FORET-SUR-SEVRE,DEUX-SEVRES,NOUVELLE-AQUITAINE,372037,2201063,0147Z,Élevage de volailles,7.(a).(i),disposant de 40 000 emplacements pour la volaille
067.00417,électropoli France Site de Dettwiller,42045417500027,"ZA Eigen
 CS 10173 DETTWILLER",67706,SAVERNE,BAS-RHIN,GRAND-EST,969289,2427700,2561Z,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
070.00881,BARCROM (ex LECOMTE),47728063000013,185 bis rue Victor Hugo,59100,ROUBAIX,NORD,HAUTS-DE-FRANCE,660179,2633493,2561Z,Traitement et revêtement des métaux,,
064.02278,SAACA - TERMINAL 2 aéroport,49347948900020,Aéroport de Nice Côte d'Azur,06000,NICE,ALPES-MARITIMES,PROVENCE-ALPES-COTE-D'AZUR,997458,1868574,5223Z,Services auxiliaires des transports aériens,,
064.02288,CENTRE HOSPITALIER DE DRAGUIGNAN,26830021700018,Route de Monferrat,83300,DRAGUIGNAN,VAR,PROVENCE-ALPES-COTE-D'AZUR,933725,1846021,8610Z,Activités hospitalières,,
064.05188,REXEL FRANCE,30930461601884,,13140,MIRAMAS,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE-D'AZUR,815399,1845808,5210B,Entreposage et stockage non frigorifique,,
064.05393,DISTRIBUTION CASINO FRANCE,42826802337699,Hypermarché Géant Casino Route du Bord de Mer,06270,VILLENEUVE-LOUBET,ALPES-MARITIMES,PROVENCE-ALPES-COTE-D'AZUR,986652,1862578,4711F,Hypermarchés,,
064.05394,CARAUTOROUTES,43397094400032,,84550,MORNAS,VAUCLUSE,PROVENCE-ALPES-COTE-D'AZUR,791200,1914100,4730Z,Commerce de détail de carburants en magasin spécialisé,,
181.00011,DECHARGE DE ROUSSON,25300098800027,,30340,ROUSSON,GARD,OCCITANIE,746101.0,1912543.0,3821Z,Traitement et élimination des déchets non dangereux,,
56172134,SCEA J AND B,41238735900018,LE MENTON,56420,PLUMELEC,MORBIHAN,BRETAGNE,227712,2327210,0147Z,Élevage de volailles,7.(a).(i),disposant de 40 000 emplacements pour la volaille
068.02332,FARAL France SAS,39273810000016,Z.A. des Ateliers Centraux,81400,CARMAUX,TARN,OCCITANIE,585748,1894629,2521Z,Fabrication de radiateurs et de chaudières pour le chauffage central,,
068.02356,Hydro Aluminium Toulouse,54208964400232,270 rue Léon Joulin BP 1209,31037,TOULOUSE,HAUTE-GARONNE,OCCITANIE,528400,1844661,2442Z,Métallurgie de l'aluminium,,
068.02597,SPEM AERO,33878315200022,Rue du castelmouly,65200,BAGNERES-DE-BIGORRE,HAUTES-PYRENEES,OCCITANIE,421557,1786807,2561Z,Traitement et revêtement des métaux,,
068.02852,sarl cazale jean,30261075300014,zone industrielle,09190,LORP-SENTARAILLE,ARIEGE,OCCITANIE,499619,1781265,1610A,"Sciage et rabotage du bois, hors imprégnation",6.(c),"Installations industrielles destinées à la conservation du bois et des produits dérivés du bois au moyen de substances chimiques d'une capacité de production de 50 m3 par jour "
070.00527,TERIS Loon Plage,44454844000023,ZI du pont à roseaux - BP 80,59279,LOON-PLAGE,NORD,HAUTS-DE-FRANCE,591663,2667539,3822Z,Traitement et élimination des déchets dangereux,,
070.00543,ETABLISSEMENTS GEORGES DEVOS,31187731000012,25 QUAI DES MINES,59300,VALENCIENNES,NORD,HAUTS-DE-FRANCE,685192,2597003,2561Z,Traitement et revêtement des métaux,,
070.00752,SRTN - Chaufferie de Beaulieu,47658087300034,"7, rue Racine",59150,WATTRELOS,NORD,HAUTS-DE-FRANCE,662300,2634500,3530Z,Production et distribution de vapeur et d'air conditionné,,
055.16565,LITHOFERTIL,33020262300014,ZI de la Gare,56690,LANDAUL,MORBIHAN,BRETAGNE,194400,2319399,2015Z,Fabrication de produits azotés et d'engrais,,
064.01015,Dépôt Pétrolier de la Grande Bastide,42090887300078,CD 20,13340,ROGNAC,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE-D'AZUR,834699,1836000,5210B,Entreposage et stockage non frigorifique,,
100.01610,CHAUFFERIE ZUP DE MONTARGIS,50861819600010,,45200,MONTARGIS,LOIRET,CENTRE,630091,2333200,3511Z,Production d'électricité,,
065.03452,VEGETTERIE MUNICIPALE,21780498800012,CHEMIN DE LA BIDONNIERE,78300,POISSY,YVELINES,ILE-DE-FRANCE,578100,2436400,3821Z,Traitement et élimination des déchets non dangereux,,
064.80008,ST2N,38135293900098,3 avenue jean Moulin,06340,DRAP,ALPES-MARITIMES,PROVENCE-ALPES-COTE-D'AZUR,1001599,1874100,4931Z,Transports urbains et suburbains de voyageurs,,
75600150,SCEA KERVI,34265504000018,KERVILINER,29400,LAMPAUL-GUIMILIAU,FINISTERE,BRETAGNE,129075,2407336,0114Z,Culture de la canne à sucre,7.(a).(i),disposant de 40 000 emplacements pour la volaille
069.00170,CCOG Décharge de Saül,24973003700028,Mairie de Saül,97314,SAUL,GUYANE,GUYANE,-11018948.861521,1092457.62742631,8411Z,Administration publique générale,,
065.01928,GENERIS,41030348100098,"22, rue de la Grande Haie",77130,MONTEREAU-FAULT-YONNE,SEINE-ET-MARNE,ILE-DE-FRANCE,646207,2376997,3821Z,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
065.03378,TURBOMECA,33848195500049,17 Rue Georges Deschamps,78970,MEZIERES-SUR-SEINE,YVELINES,ILE-DE-FRANCE,560424,2440344,3030Z,Construction aéronautique et spatiale,,
